method,bias,sd,rmse,n_valid,mean_loss
ht,-0.0037395508536035016,0.4760685219714521,0.47608320895896933,100,
hajek,-0.017507456958729073,0.19275207965022795,0.19354553794559454,100,
haipw-truth,-0.007793936811745283,0.1916264438451131,0.1917848780059308,100,
haipw-one,-0.01520488831387945,0.1924565031616418,0.1930561945078287,100,
haipw-cov-truth,-0.01020098376848444,0.08546216231859666,0.0860688169897498,100,
haipw-cov-one,-0.005901865357056835,0.08264266503167293,0.08285313571754617,100,
linear,-0.00870445012833887,0.0838800430888045,0.0843304753965993,100,60680.87660594503
lasso,0.012006175923738593,0.07679179025363782,0.0777246891963581,100,55058.478646529096
pna-linear,-9.184791719452079e-05,0.05964853379668067,0.05964860451120084,100,48677.9574275014
pna-lasso,0.01596608341554001,0.05645798245469683,0.05867213650862594,100,43900.031703236105
