method,bias,sd,rmse,n_valid,mean_loss
ht,-0.07850297143362917,0.35433688128152313,0.3629288387001306,50,
hajek,-0.03693644490882819,0.18641151362853636,0.1900356634313278,50,
haipw-truth,0.02236764515211831,0.20000048340672175,0.20124737243644567,50,
haipw-one,-0.026702799150936984,0.16051479562404813,0.1627207396023175,50,
haipw-cov-truth,0.1869838233199707,0.3515653081067289,0.3981973330492474,50,
haipw-cov-one,-0.01995850835508084,0.11741697230881093,0.11910116473791474,50,
linear,0.004467448230464743,0.11423141818648207,0.1143187429715129,50,57598.04525961943
lasso,-0.003587568591923107,0.10594440094014469,0.10600512600326403,50,54198.05276722848
gat-linear,0.03553496224540742,0.13214473448105712,0.13683919172828968,50,60628.25197102773
gat-lasso,0.09047149022907952,0.12940349286326494,0.1578934910295022,50,44822.96172426966
pna-linear,0.0019266389959258223,0.08855901230002809,0.08857996724642174,50,43289.45580445093
pna-lasso,0.012187717375336082,0.0734029719274669,0.07440790779618497,50,35411.84923593318
