method,bias,sd,rmse,n_valid,mean_loss
ht,0.0073902447459088805,0.46355270232992846,0.4636116085203041,100,
hajek,-0.024675726579474144,0.18738770035881713,0.18900540131962051,100,
haipw-truth,-0.015580109755844396,0.18484523096465524,0.185500671778786,100,
haipw-one,-0.02189273405426423,0.18360947848450354,0.18491006569065438,100,
haipw-cov-truth,-0.026291557571047286,0.17299894533194676,0.17498537391872954,100,
haipw-cov-one,-0.027680571118844588,0.17280389942735913,0.1750068617933773,100,
linear,-0.004863301884867111,0.1709630333630686,0.17103219136152426,100,138174.009650427
lasso,-0.009894493701152307,0.16502890609701254,0.1653252577592992,100,143640.03414240436
pna-linear,0.005043429243400732,0.08880157975131286,0.0889446836233733,100,57429.49328934517
pna-lasso,0.015660016151955225,0.08405546389757304,0.08550179598649202,100,54291.64171683521
