method,bias,sd,rmse,n_valid,mean_loss
ht,0.034075430943606544,0.472177480059707,0.4734054368820953,25,
hajek,0.06596860552369932,0.19252696822691734,0.20351533212362624,25,
haipw-truth,0.12804177962319147,0.26594659263771425,0.295164847948878,25,
haipw-one,0.06667413068270045,0.15533963255886873,0.16904390301285097,25,
linear,0.08819501378800321,0.16355315738810752,0.18581710294987688,25,93317.58385650376
lasso,0.09272692178599284,0.15546965226149462,0.18102235993991375,25,99504.53421857636
gat-linear,0.08652171669460884,0.11340204009949734,0.14263951121099006,25,73682.45492976045
gat-lasso,0.11308454325157319,0.10316670535813134,0.1530734562779204,25,55980.83306908952
