method,bias,sd,rmse,n_valid,mean_loss
ht,0.003029123185946503,0.3811900543343141,0.38120208959379137,100,
hajek,0.012999094983070614,0.1635201889435146,0.16403605903124352,100,
haipw-truth,0.06981417215120744,0.2749316521203872,0.28365724381866936,100,
haipw-one,0.015063516847707015,0.16039480090513683,0.16110059496233908,100,
linear,0.03687674068013769,0.10516831759187178,0.1114462607192136,100,46095.50853724076
lasso,0.029842192184510674,0.09868223727118802,0.10309578258699198,100,43260.430798103764
mlp,0.024051176579723665,0.19804060124647618,0.1994957113246669,100,75658.9037381915
gat-linear,0.030452949674161123,0.10347961289258681,0.10786756893643523,100,41316.87800929809
gat-lasso,0.04135297687791595,0.09620501599211434,0.1047161582503313,100,38531.21893638024
gat-mlp,0.032042747716871545,0.14222701160241866,0.1457918396571002,100,116993.79470157562
