method,bias,sd,rmse,n_valid,mean_loss
ht,-0.11859599187456549,0.4729852836215223,0.48762699659805947,50,
hajek,-0.018685482207787985,0.18463381254526692,0.18557691661502065,50,
haipw-truth,0.11507934382950774,0.28728188895487555,0.3094739715997316,50,
haipw-one,0.014572335988271568,0.15077542535328275,0.15147799136052212,50,
haipw-cov-truth,0.18321875207871924,0.3158043022424545,0.36510473624444634,50,
haipw-cov-one,0.02913813188830483,0.13613154518850945,0.13921504345921615,50,
linear,0.03632245151854452,0.13479746004007126,0.1396054286823103,50,95490.75103672958
lasso,0.036383542325490126,0.13731686194577555,0.14205521013600983,50,101744.11608320693
gat-linear,0.046189783647497706,0.1268974988498219,0.13504247971561836,50,73251.70263709709
gat-lasso,0.09852899819824229,0.1233739276411791,0.1578894851076541,50,58069.990411615734
