method,bias,sd,rmse,n_valid,mean_loss
ht,-0.0653151271423229,0.40270363336133547,0.4079660306398545,50,
hajek,-0.015960176530028458,0.1649765518489285,0.16574676435705124,50,
haipw-truth,0.077740167451817,0.24748328227743868,0.2594060690158404,50,
haipw-one,-0.012549019406560502,0.17679132417741875,0.17723614245540156,50,
haipw-cov-truth,0.1561041181188531,0.3007958797055631,0.3388903317321231,50,
haipw-cov-one,-0.019222390347770513,0.15790954080403896,0.15907521292654148,50,
linear,0.008727351666926397,0.14243894388797124,0.142706059447519,50,98798.4318478013
lasso,0.021675972293130785,0.14220046899956323,0.14384304348333402,50,104882.64333754519
gat-linear,0.03308037552847687,0.13845951587777275,0.1423564146156128,50,74440.91129741847
gat-lasso,0.07422403016289658,0.12484475634838547,0.1452426240513105,50,61425.211307109574
