method,bias,sd,rmse,n_valid,mean_loss
ht,0.03722100962769975,0.45888047329364995,0.4603875458001764,100,
hajek,0.027007258329965644,0.2012761972136378,0.20308003241895722,100,
haipw-truth,0.03815969037659911,0.19547243218472315,0.19916233005729045,100,
haipw-one,0.0287440904334878,0.19406962690841892,0.19618675496378812,100,
haipw-cov-truth,-0.005694508014463584,0.04213608006645802,0.04251913292735108,100,
haipw-cov-one,0.0034017412672034952,0.02809970221811823,0.028304860155031922,100,
linear,0.0021965873788768464,0.04794083890898132,0.04799113492521237,100,40157.35384527241
lasso,0.01896055194040336,0.024923005306911418,0.031315470991397656,100,32055.121949868822
pna-linear,-0.0021674303384393023,0.036517357011219005,0.03658162267254984,100,37461.20815645112
pna-lasso,0.015092475231792524,0.02362613312098891,0.02803528089520346,100,32804.01954748623
