method,bias,sd,rmse,n_valid,mean_loss
ht,-0.02198126655043975,0.3435067574095891,0.34420933814353694,50,
hajek,0.006033419569975829,0.1564588322257819,0.1565751204156099,50,
haipw-truth,0.0768171058675754,0.19921452880522078,0.21351181756745086,50,
haipw-one,0.0173743052977533,0.11988459040003197,0.12113703603755119,50,
haipw-cov-truth,0.17186070933241826,0.3971189667239576,0.4327118869919634,50,
haipw-cov-one,0.0205009329420327,0.14050469215888062,0.1419924532154985,50,
linear,0.0465937364826714,0.13337970305929459,0.14128383300152292,50,90952.45273298756
lasso,0.04076332532945315,0.13281492745110365,0.13892967158154793,50,97327.33820608485
gat-linear,0.049964803874076646,0.10936724013973388,0.12024007169807062,50,74789.96652466625
gat-lasso,0.1047658954143984,0.12061885955771916,0.15976483381202963,50,58409.06911802308
pna-linear,0.02797844146256101,0.08257534098695615,0.08718646756111888,50,50010.4093254168
pna-lasso,0.026948875928397786,0.08561031906016772,0.08975170551798943,50,44835.511561288695
