method,bias,sd,rmse,n_valid,mean_loss
ht,0.028489265445349243,0.41327621784241597,0.4142570101757454,20,
hajek,0.03219616093913724,0.19157392082015115,0.19426054647721025,20,
haipw-truth,0.13548214817810011,0.2489321274637729,0.28341244954763856,20,
haipw-one,0.03679479974962907,0.1851989009449233,0.18881867015690695,20,
haipw-cov-truth,0.3006497611842859,0.3339903628484551,0.44937717051026393,20,
haipw-cov-one,0.011791027514606922,0.17172807961174683,0.17213239572198102,20,
linear,0.05625625891507424,0.1695309573848465,0.17862114146691177,20,93819.71350331783
lasso,0.05998349147227766,0.17598282663093998,0.18592464741991657,20,100794.28936500577
gat-linear,0.060171825321643224,0.15759447496550244,0.16869104037319443,20,68741.91829734096
gat-lasso,0.10896233001417716,0.11989167586582093,0.1620086519419056,20,51783.25177625055
pna-linear,0.023241254409270495,0.12342493176844846,0.12559406709141396,20,50852.08808865533
pna-lasso,0.03146813201768728,0.12284833382105297,0.12681465394539962,20,45822.92829713928
