method,bias,sd,rmse,n_valid,mean_loss
ht,-0.0382228220616041,0.39992954821009963,0.40175194792046426,50,
hajek,-0.004903188358379551,0.14271274784505295,0.1427969525359817,50,
haipw-truth,0.09238170978723359,0.2102246742526205,0.22962751134790677,50,
haipw-one,-0.01017992827438341,0.14519940042793966,0.1455558203037747,50,
haipw-cov-truth,0.31316831047854626,0.42753503703162044,0.5299628275432308,50,
haipw-cov-one,0.006993945484693009,0.12998768229433663,0.13017569981258503,50,
linear,0.026656596233262997,0.12382552745974262,0.12666228867909612,50,52480.464430374224
lasso,0.016766854582093038,0.11246712443680107,0.11371007647372308,50,47440.892263048234
gat-linear,0.04786100645926761,0.10930578740431185,0.11932489723176247,50,60819.06490163158
gat-lasso,0.10143932765265024,0.11314396229515543,0.15195885429440853,50,46205.09812490859
pna-linear,-0.00024401152210806742,0.09925899300114706,0.09925929293131541,50,40147.831242194334
pna-lasso,0.010623627196055474,0.08834493074290425,0.08898139267717334,50,33365.28135043317
