method,bias,sd,rmse,n_valid,mean_loss
ht,-0.07638028680392872,0.6012840856985344,0.6061159129461731,20,
hajek,-0.016060603431978182,0.23275812187431605,0.23331156482493154,20,
haipw-truth,-0.004974366693866417,0.22274890166843744,0.222804437833945,20,
haipw-one,-0.006963946667873477,0.22002494862843483,0.2201351279831058,20,
haipw-cov-truth,-0.015498297500352642,0.04527631407802808,0.04785542646243664,20,
haipw-cov-one,0.001319942104820615,0.033812450807044446,0.03383820439590255,20,
linear,0.0046832230813951825,0.044284562646082146,0.044531506455372544,20,41461.03408670577
lasso,0.018866977900012072,0.03334480947146322,0.03831238929860323,20,33374.147710875695
gat-linear,-0.009819922535755088,0.10386748095681018,0.10433064975797648,20,106772.08971509486
gat-lasso,0.03460234170280224,0.10382050958664937,0.10943500473865317,20,89949.83806100975
pna-linear,-0.012552223377461535,0.03653904790289692,0.03863496257753963,20,40673.74622570777
pna-lasso,0.013161105038414389,0.026696643311261096,0.029764499826485886,20,33586.32401217317
