method,bias,sd,rmse,n_valid,mean_loss
ht,-0.06705899710261704,0.3704058382271569,0.37642714313020986,20,
hajek,0.035599511175683995,0.17515785293018254,0.17873891193318567,20,
haipw-truth,0.05300564708762773,0.18046973877988032,0.1880928633373855,20,
haipw-one,0.050836566382151505,0.1787561825673866,0.1858443684581046,20,
haipw-cov-truth,-0.006063473843064104,0.09595200427617304,0.09614339727542527,20,
haipw-cov-one,-0.003216058981103276,0.08767441842332462,0.08773338407492405,20,
linear,-0.00818902001166999,0.08541734286371572,0.08580898851897217,20,65107.259711078565
lasso,0.0037544544490408227,0.0823210608922377,0.08240663198210099,20,60487.535605842946
gat-linear,-0.008366578427612348,0.14722172396375285,0.1474592677367036,20,122524.39015338784
gat-lasso,0.037350089998982705,0.14544886351940367,0.15016790976110117,20,106026.56475548403
pna-linear,0.005479107875367706,0.07334812184410638,0.07355248195110613,20,51681.81968715992
pna-lasso,0.021161584955757706,0.06272095243340826,0.06619464141449528,20,46351.05064447895
