method,bias,sd,rmse,n_valid,mean_loss
ht,-0.11900013708512969,0.36895554247677836,0.3876715426112851,50,
hajek,-0.022636895487983977,0.1629096873768213,0.1644749077474967,50,
haipw-truth,0.07749571795504728,0.19473559880100452,0.2095889781017934,50,
haipw-one,-0.00209115808938376,0.15253340763415912,0.15254774133576463,50,
haipw-cov-truth,0.09235589501392305,0.24546434824380214,0.2622639083110319,50,
haipw-cov-one,-0.01797179248391856,0.14448688515193123,0.14560029294610777,50,
linear,0.007089393296180191,0.1371157433181503,0.137298894980975,50,94964.02646753158
lasso,0.013619305200595733,0.14016464471281093,0.14082476025761767,50,100757.88312985217
gat-linear,0.033093254207799294,0.13015576941124368,0.13429701331412722,50,74186.5017929359
gat-lasso,0.061033046020503745,0.14046793956782458,0.15315441473549155,50,58019.94738113954
